Date,S&P 500 Open,S&P 500 High,S&P 500 Low,S&P 500 Close,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close
10/2/2020,11082.53,11244.87,11033.69,11075.02,3338.94,3369.1,3323.69,3348.44
10/1/2020,11291.99,11344.13,11240.53,11326.51,3385.87,3397.18,3361.39,3380.8
9/30/2020,11092.9,11277.97,11092.9,11167.51,3341.21,3393.56,3340.47,3363
9/29/2020,11109,11153.23,11065.63,11085.25,3350.92,3357.92,3327.54,3335.47
9/28/2020,11084.38,11120.79,11019.14,11117.53,3333.9,3360.74,3332.91,3351.6
9/25/2020,10680.46,10939.55,10639.98,10913.56,3236.66,3306.88,3228.44,3298.46
9/24/2020,10551.02,10799.56,10520.22,10672.27,3226.14,3278.7,3209.45,3246.59
9/23/2020,10950.83,10962.02,10612.91,10632.99,3320.11,3323.35,3232.57,3236.92
9/22/2020,10873.3,10979.65,10737.52,10963.64,3295.75,3320.31,3270.95,3315.57
9/21/2020,10610.14,10782.74,10519.49,10778.8,3285.57,3285.57,3229.1,3281.06
9/18/2020,10973.45,10977.68,10639.95,10793.28,3357.38,3362.27,3292.4,3319.47
9/17/2020,10796.05,10974.45,10783.81,10910.28,3346.86,3375.17,3328.82,3357.01
9/16/2020,11222.08,11245.41,11046.43,11050.47,3411.23,3428.92,3384.45,3385.49
9/15/2020,11193.96,11244.46,11127.98,11190.32,3407.73,3419.48,3389.25,3401.2
9/14/2020,11010.14,11118.29,10982.26,11056.65,3363.56,3402.93,3363.56,3383.54
9/11/2020,11010.07,11033.04,10728.03,10853.55,3352.7,3368.95,3310.47,3340.97
9/10/2020,11235.53,11299.53,10875.02,10919.59,3412.56,3425.55,3329.25,3339.19
9/9/2020,11064.77,11217.69,10970.45,11141.56,3369.82,3424.77,3366.84,3398.96
9/8/2020,10900.7,11131.5,10837.2,10847.69,3371.88,3379.97,3329.27,3331.84
9/4/2020,11396.24,11531.18,10875.87,11313.13,3453.6,3479.15,3349.63,3426.96
9/3/2020,11861.9,11894.4,11361.36,11458.1,3564.74,3564.85,3427.41,3455.06
9/2/2020,12047.26,12074.07,11836.18,12056.44,3543.76,3588.11,3535.23,3580.84
9/1/2020,11850.96,11945.72,11794.78,11939.67,3507.44,3528.03,3494.6,3526.65
8/31/2020,11718.81,11829.84,11697.41,11775.46,3509.73,3514.77,3493.25,3500.31
8/28/2020,11689.28,11708.77,11634.77,11695.63,3494.69,3509.23,3484.32,3508.01
8/27/2020,11688.2,11730.02,11551.01,11625.34,3485.14,3501.38,3468.35,3484.55
8/26/2020,11516.62,11672.05,11507.46,11665.06,3449.97,3481.07,3444.15,3478.73
8/25/2020,11370.23,11468.26,11343.04,11466.47,3435.95,3444.21,3425.84,3443.62
8/24/2020,11449.25,11462.05,11297.53,11379.72,3418.09,3432.09,3413.13,3431.28
8/21/2020,11258.45,11326.22,11245.45,11311.8,3386.01,3399.96,3379.31,3397.16
8/20/2020,11096.4,11283.62,11090.03,11264.95,3360.48,3390.8,3354.69,3385.51
